Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Bones Hyland,1,22,TOT,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.4,2.1,2.4,3.1,0.7,0.3,0
Devonte' Graham,1,27,TOT,2.2,5.9,0.374,1.6,4.6,0.352,0.6,1.3,0.452,0.3,1.4,1.7,2.7,0.6,0.2,0
Tyrese Haliburton,1,22,IND,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.6,3.1,3.7,10.4,1.6,0.4,0
R.J. Hampton,1,21,TOT,2.2,5.0,0.43,0.9,2.5,0.353,1.3,2.6,0.504,0.4,1.5,1.9,1.1,0.6,0.2,0
James Harden,1,33,PHI,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,0.7,5.4,6.1,10.7,1.2,0.5,0
TyTy Washington Jr.,1,21,HOU,1.9,5.2,0.363,0.6,2.6,0.238,1.3,2.6,0.488,0.1,1.4,1.5,1.5,0.5,0.1,0
Killian Hayes,1,21,DET,4.0,10.7,0.377,1.1,3.8,0.28,3.0,7.0,0.429,0.4,2.5,2.9,6.2,1.4,0.4,0
George Hill,1,36,TOT,1.7,3.6,0.47,0.7,2.1,0.358,1.0,1.5,0.62,0.3,1.5,1.8,2.4,0.6,0.1,0
Aaron Holiday,1,26,ATL,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.4,0.8,1.2,1.4,0.6,0.2,0
Jrue Holiday,1,32,MIL,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,1.2,3.9,5.1,7.4,1.2,0.4,1
John Wall,1,32,LAC,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,0.4,2.3,2.7,5.2,0.8,0.4,0
Trevor Hudgins,1,23,HOU,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
Marcus Smart,1,28,BOS,4.1,9.9,0.415,1.9,5.6,0.336,2.2,4.3,0.519,0.8,2.4,3.1,6.3,1.5,0.4,0
Kemba Walker,1,32,DAL,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.3,1.4,1.8,2.1,0.2,0.2,0
Kyrie Irving,1,30,TOT,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,1.0,4.1,5.1,5.5,1.1,0.8,0
Frank Jackson,1,24,UTA,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1
Quenton Jackson,1,24,WAS,2.1,4.7,0.452,0.1,1.3,0.083,2.0,3.3,0.6,0.2,0.7,0.9,1.7,0.4,0.1,1
Reggie Jackson,1,32,TOT,3.9,9.4,0.411,1.4,4.2,0.333,2.5,5.2,0.474,0.4,1.8,2.1,3.4,0.7,0.1,0
Jordan Goodwin,1,24,WAS,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.9,2.4,3.3,2.7,0.9,0.4,0
Jacob Gilyard,1,24,MEM,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,0
Shai Gilgeous-Alexander,1,24,OKC,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.9,4.0,4.8,5.5,1.6,1.0,0
Russell Westbrook,1,34,TOT,5.9,13.6,0.436,1.2,3.9,0.311,4.7,9.7,0.487,1.2,4.6,5.8,7.5,1.0,0.5,0
